Gene,Importance
INPP5J (27124),0.00056866836
ZCCHC9 (84240),0.0005654968
POR (5447),0.00056535087
MFSD12 (126321),0.0005648922
MAFF (23764),0.0005646931
TUG1 (55000),0.00056433753
TTLL7 (79739),0.00056327705
JAKMIP3 (282973),0.00056250027
PSG3 (5671),0.00056151976
GPR107 (57720),0.0005587107
USP25 (29761),0.00055757083
KLC2 (64837),0.0005558974
SPSB2 (84727),0.00055507384
FBLN1 (2192),0.00055332435
SYBU (55638),0.00055167417
TICAM2 (353376),0.00055084785
URGCP (55665),0.00054901955
HSPA1L (3305),0.00054830627
GLT8D2 (83468),0.0005477527
FABP5 (2171),0.0005464031
SGPL1 (8879),0.0005461043
PIGK (10026),0.00054472976
INPP5D (3635),0.0005445297
SEMA5B (54437),0.00054420944
DLX3 (1747),0.0005416251
MMP8 (4317),0.0005408564
CCDC117 (150275),0.0005389427
ABCC3 (8714),0.00053784787
RAD1 (5810),0.0005354869
CAMK2G (818),0.0005354594
SGCD (6444),0.00053540646
ABCB5 (340273),0.0005345485
CLPTM1L (81037),0.0005345221
CACUL1 (143384),0.00053432805
OSCP1 (127700),0.0005338988
B4GALT1 (2683),0.00053358654
SCML1 (6322),0.0005335103
SNF8 (11267),0.0005334593
DDAH2 (23564),0.00053284323
S100A1 (6271),0.0005316694
POLN (353497),0.00053112255
APPBP2 (10513),0.0005311036
C3orf70 (285382),0.0005289866
TSEN34 (79042),0.0005286648
SAMSN1 (64092),0.0005260971
CRABP2 (1382),0.00052605785
NELFE (7936),0.0005232593
USP9X (8239),0.00052287447
TAF12 (6883),0.0005226383
ZNF514 (84874),0.00052134064
PHKB (5257),0.0005204078
STC1 (6781),0.00051898777
CEP126 (57562),0.00051729614
C3AR1 (719),0.00051666534
RPL22L1 (200916),0.00051654293
LST1 (7940),0.00051427126
SIRT4 (23409),0.00051381247
KCTD11 (147040),0.00051373494
ACAN (176),0.000511401
MYO1C (4641),0.0005108546
VGF (7425),0.00050932536
TEKTIP1 (100128569),0.00050932396
PGM2L1 (283209),0.0005083462
RTN3 (10313),0.0005083141
SCRN1 (9805),0.00050823024
TSPYL5 (85453),0.0005074805
SRD5A1 (6715),0.00050638476
TUBD1 (51174),0.0005058207
SNRK (54861),0.0005052619
AJUBA (84962),0.00050491065
CCDC85C (317762),0.00050478603
MUS81 (80198),0.0005035473
GCLM (2730),0.00050297566
CCDC40 (55036),0.0005014959
ODAD2 (55130),0.0005013193
GPR55 (9290),0.0005004848
ADAMTS17 (170691),0.0005003796
SPRED1 (161742),0.00049876136
PLEKHG4B (153478),0.00049739436
ABCC9 (10060),0.0004959242
NXNL2 (158046),0.0004956003
RBBP7 (5931),0.0004943024
TTC36 (143941),0.0004931051
PTGFR (5737),0.0004920091
IL1RAPL1 (11141),0.00049166277
MORN1 (79906),0.0004916022
BIN3 (55909),0.0004905388
ZMAT3 (64393),0.00048886903
ANXA7 (310),0.0004884266
ZNF138 (7697),0.00048716945
SRR (63826),0.00048450232
PHACTR4 (65979),0.000484166
SPECC1 (92521),0.00048196057
TIMP3 (7078),0.00048172913
TTC9C (283237),0.0004815726
SHANK2 (22941),0.0004805741
PLXNC1 (10154),0.0004794989
RAB40AL (282808),0.00047749278
TMEM178B (100507421),0.00047731915
GJA3 (2700),0.0004756707
WIPF2 (147179),0.00047539175
SETD7 (80854),0.0004740902
CFAP45 (25790),0.00047406487
ZNF682 (91120),0.00047223558
DNAI4 (79819),0.00047132222
TRIM73 (375593),0.00047123796
RBM24 (221662),0.00047123246
BOC (91653),0.0004686916
OCLN (100506658),0.0004675598
SNX7 (51375),0.0004656016
PTPRF (5792),0.00046554013
CCDC97 (90324),0.00046546545
KCND1 (3750),0.00046518916
ZNF44 (51710),0.00046490604
SNRPB2 (6629),0.00046174417
BOK (666),0.00046132196
USP47 (55031),0.00046115907
ANKRD13C (81573),0.0004606352
RTL8C (8933),0.0004602022
PLGLB2 (5342),0.00045914156
WDR53 (348793),0.00045780462
FERMT3 (83706),0.00045767135
ELF1 (1997),0.00045721888
IL15 (3600),0.00045471973
RGPD6 (729540),0.00045456944
PIAS3 (10401),0.00045393576
ADGRB2 (576),0.00045218202
IQSEC2 (23096),0.0004505125
PXDN (7837),0.00045045995
BASP1 (10409),0.00044881695
ADCY1 (107),0.0004485483
DIP2C (22982),0.00044808196
SP3 (6670),0.00044376275
MASTL (84930),0.00044358903
PSPN (5623),0.0004431905
UBE2J2 (118424),0.00044146823
BTK (695),0.000440078
PDLIM1 (9124),0.00043927605
EDA2R (60401),0.00043912424
ASIC3 (9311),0.00043808986
EOLA1 (91966),0.00043784623
THAP3 (90326),0.00043782828
TRPV4 (59341),0.0004377948
UCP3 (7352),0.00043697836
CTIF (9811),0.00043642434
ZFAND5 (7763),0.00043623472
RPUSD3 (285367),0.00043526007
AFDN (4301),0.00043463247
TRPC1 (7220),0.00043401463
CD69 (969),0.00043371684
VEGFC (7424),0.00043072517
ICMT (23463),0.00043004952
CLU (1191),0.0004280347
SPTAN1 (6709),0.0004265579
MARCHF5 (54708),0.00042164343
ZFP57 (346171),0.0004215813
STEAP2 (261729),0.00042089826
RSPRY1 (89970),0.0004205975
ABLIM1 (3983),0.00042036927
RNF216 (54476),0.00041622666
GPR173 (54328),0.00041593128
FAM167B (84734),0.00041528806
SLC25A14 (9016),0.00041513777
CFAP161 (161502),0.0004141134
PRKAA2 (5563),0.00041371485
IFT22 (64792),0.00041227147
ZYG11A (440590),0.00041181417
MOSPD1 (56180),0.00041145677
PPP2R1A (5518),0.00041118238
SUN1 (23353),0.0004084237
ATP8B1 (5205),0.00040818166
ZBTB4 (57659),0.00040704332
APOL4 (80832),0.000404552
MAD2L1BP (9587),0.00040392886
LRRC51 (120356739),0.00040278074
MFSD2B (388931),0.000402191
WBP1L (54838),0.00040213217
ZFP36L1 (677),0.00040154788
PTGR2 (145482),0.00040147413
P3H2 (55214),0.00040112456
SGSH (6448),0.00039885376
ALMS1 (7840),0.00039862352
CLIC4 (25932),0.00039647918
DMGDH (29958),0.0003962701
SPOP (8405),0.00039547938
NHLRC4 (283948),0.00039410207
ZNF606 (80095),0.0003933708
BTBD7 (55727),0.00039134867
ETV3 (2117),0.00039021557
TMEM25 (84866),0.00039020545
FGF18 (8817),0.00038690452
SAP30L (79685),0.00038640387
ECT2 (1894),0.00038607325
NTN4 (59277),0.00038545253
DHH (50846),0.00038507703
DUSP8 (1850),0.00038457417
DERL1 (79139),0.00038454632
FAAP24 (91442),0.00038424332
EPHB2 (2048),0.00038405327
ACR (49),0.00038381154
DNAH11 (8701),0.0003836486
TRAPPC3 (27095),0.00038353764
PKLR (5313),0.00038342373
DEPDC1 (55635),0.0003826835
SEMA3G (56920),0.00038191926
ACSL3 (2181),0.00038175654
ZMIZ2 (83637),0.00038087196
LAPTM5 (7805),0.000380284
PLD3 (23646),0.00037960935
TMEM187 (8269),0.0003786267
TMEM54 (113452),0.00037770363
FAM199X (139231),0.00037693494
CELSR1 (9620),0.00037472846
TMEM132A (54972),0.0003743956
GOLGB1 (2804),0.0003736027
PDE6A (5145),0.00037332205
GAS7 (8522),0.000373078
XYLB (9942),0.00037255138
PHACTR1 (221692),0.00037222967
TCTN1 (79600),0.00037148563
IFT70A (92104),0.00037142224
GMFG (9535),0.00037073836
TYW1 (55253),0.000368856
ZC3H13 (23091),0.00036837865
NEURL1B (54492),0.00036835324
HMGB3 (3149),0.00036822437
BMP4 (652),0.0003669437
DUSP10 (11221),0.00036631606
SNCA (6622),0.000365872
MB21D2 (151963),0.00036543814
CENPT (80152),0.00036515258
SLC8A1 (6546),0.00036499585
ART3 (419),0.00036442434
ARHGAP4 (393),0.000363694
FAM246C (117134596),0.0003629383
ZNF385B (151126),0.0003619623
